language,original_index,text,transcription_base,transcription_ft,sentiment_base,confidence_base,reasoning_base,sentiment_ft,confidence_ft,reasoning_ft
TWI,10,"Mɛyɛ no sɛn? Me yɛ sukuu ni kɛkɛ, nneɛma bɛn na mɛtwerɛ? Mate ase. Ɛtɔ da a, na dwumadie a yɛyɛ no, na y3bɛ ba no  na yɛabrɛ. Esiane sɛ yɛyɛ no abrɛ a, na y’adi agorɔ nti, yɛba no a na obiara abrɛbrɛ a ontumi ntie hwee. Me nwennee ho saa da.","Mereka sayang, biasaku ninkakek, ni emak bain amat trop, mati aksi. Atodah, nak jumedia yang yang no, yang bapa nak yang bren, esan saya yang no, abra yang dia grow, entah bapa nono bia bren bren untu minti syair, banyu yang hantar dah.","Mɛyɛ ne sɛn, miyɛ sukuminiŋkeke. Nɛma bɛn na metsrɔ̃, Matease. Ɛtɔ da nadzimeɖia yɛ yɛ no. Yebɛba na yea brɛ, ɛsiane sɛ yeye no abra yedire agorɔ. Nsi yea bɛba no na wɔbia abrɛbraa wòntumi ntye hwee. Manyo enhosa da.",Sad,0.85,"Although labeled as Twi, the transcription contains words from Malay/Indonesian dialects, specifically 'mati' (dead), 'kakek' (grandfather), 'emak' (mother), and 'bapa' (father). The mention of death in the context of family strongly indicates grief or sadness.",Overwhelmed,0.75,"The speaker begins with 'Mɛyɛ ne sɛn' (What should I do/How am I), which indicates distress and a lack of direction. The mention of struggling with their status as a student, questioning who to marry, and describing a confusing or chaotic social situation ('yedire agorɔ' - playing/messing around) where they 'cannot understand anything' suggests they are feeling emotionally overwhelmed by their current circumstances."
TWI,11,"Ɔse menyi m’ani. Ɛyɛ a, ne ɛyɛ me sɛ ɔpɛ sɛ me nyini ntɛm. Me nua baako waree mfie a atwam no. Na me kyɛn no mfie baako pɛ","On sait, mini mini. Il y a un ailleurs mais on peut se dire mini inter. Mini a beaucoup l'or et en vie chaque mois. Na mais tu as non en vie beaucoup peu.",1 ƆSE. Menyi meni. Ɛyaa na ɛyɛ mèsɛ wɔpɛse menyi ntɛm. Menui aboako awaree mfeɛ twemu. Na metsɛe no mfeɛ baako pɛ.,Sad,0.55,"The transcription appears to be a mix of French and broken language (despite the Twi label). It contrasts someone ('mini') who has 'beaucoup l'or' (much gold) and 'en vie chaque mois' (life every month) with the listener who has 'non en vie beaucoup peu' (no life, very little). This contrast between abundance and deprivation typically conveys a sentiment of sadness or hopelessness.",Guilty,0.9,"The speaker expresses deep regret, stating that they destroyed a marriage of twelve years in just one year ('Na metsɛe no mfeɛ baako pɛ'), which indicates a strong sense of remorse and responsibility for the loss."
TWI,12,"Ɛwɔ sɛ ɔsoa nsuo na ɔsan ne nnipa kɔ, esiane sɛ ɔse wɔn deɛ, biribiara nni hɔ wɔ sɛ wɔsomu. Ɛwɔ sɛ megyina pintinn ma wɔn, esiane sɛ obi sere wɔn a. Ɛwɔ sɛ me ka ho ɛyɛ biribi saa.",Hmph. Ewas saya wasi untuk you. Na wasan ini nipa aircond. Esa anse wasi. One day bibi ini wah wasi wasum. Ewas saya mungkin pinti maung. So bi seorang. E nyes se. Mac kamu ayah bibisa.,"Hm. Èwò sɛ wɔsie nsuo, na wɔsaa ne nnipa ekɔt esian sɛ wɔse wɔn de abibie nɔhɔe wɔ sɛ wɔsom. Èwò sɛ megyina pintinn ma wɔn, sɔbii Seron na, ɛnye sɛ meka ho, ɛyɛ bibisa.",Irritated,0.65,"The text begins with the interjection 'Hmph,' which typically denotes annoyance or dissatisfaction. Although the language is a non-standard mix (containing Malay words like 'saya', 'untuk', 'ini', and 'seorang' along with English), the overall tone and the opening expression suggest a sense of irritation or a complaint.",Frustrated,0.75,"The speaker discusses a difficult and problematic situation ('ɛyɛ bibisa') involving the treatment of others and expresses a need to 'stand firm' ('gyina pintinn') for them, which indicates a sense of distress and frustration with the prevailing circumstances."
TWI,13,"Nti wei no ɛsane so nso fa sɛnea mmaranteɛ ne mmabaa adi nkitaho anaa? Ɛtɔ da, ɛyɛ a nkurɔfo yɛ mmaa sononko. Te sɛ nsɛm bi a wɔka sɛ anikwan sɛ mmabaa bɛkɔ sukuu sɛnea mmaranteɛ kɔ sukuu no. Ɛyɛ m’adwene sɛ ɛyɛ saa na yɛtetee yɛn.","See, when no, a sense of fact, sense ya, man, tian, ema ba wa, edin ke tamudiana. A toda, aya en crowfo, aya ema sunong kong. Tsee, ensambia aya awa kase, eniku anse, ema ba wa beko sukum, sense ya man tian ko sukum. Aya ma jinse, esana ati tayeng.","Si wòe no, Ɛsa nso fa Senea, mmarantia ne mabaa wɔa ɖiŋ ketahuɖia naa. Ɛtɔɖaa ayae nkurɔfoɔ eya mma sunɔnko. Ti sɛ nsẽm bi a yea wɔ kasa eni kwan sɛ mabaa wɔ abe kɔsu kum Senea mmarantia kɔsu kum no. Ɛyɛ madwensã ɛsaa na ɖetee yɛn.",Proud,0.6,"The transcription contains phrases like 'ema ba wa beko sukum' (let the child go to school) and references 'crowfo' (Akrowfo/foreigners), which in a Ghanaian cultural context often relates to the value and aspiration of education. The mention of 'sense' and schooling suggests a positive reflection on intellectual growth and the child's future, which most closely aligns with a sense of pride or aspiration.",Anxious,0.75,"The speaker describes a tense situation involving young men and women and mentions 'kɔsu kum' (killing/slaughtering), concluding that these thoughts ('madwensã') are affecting them, which indicates worry, apprehension, and anxiety about the conflict."
TWI,14,"Ɛyɛ me sɛ nea meyɛ nyinaa, menyɛ no yiye. Na ɛyɛ me sɛ ɛwɔ sɛ mekyerɛ sɛ meyɛ barima abrɛ a, mereyɛ nea obiara reyɛ no bi. Daabi, ɔno deɛ, ɛyɛ a ogyina me papa afa. Wɔn nyinaa pɛ sɛ meware. Ɔbɛtie?","Ayer meseh ni kami yang nina menyenin ye. Na ayer meseh, awasan mister se. Mie bermak abraham yang nyobihan suy yang nyobih. Darbi ono dia ayer anak ujung nama papa fa. Oin na persen me worry. Obeti.",". Ɛyɛ me sɛ nia me nye nyinaa no menye ni yie, na ɛyɛ me sɛ ɛwɔ sɛ mekyerɛ sɛ miyibɛma abram eye ne obiara so yie no bi. Dabi, ɔno de ayi ana ogyinaa me papa afã. Wonyi na wɔpɛ sɛ mewɔwea. Obɛtie.",Anxious,0.7,"Although the transcription is fragmented and does not align with standard Twi, the explicit use of the phrase 'me worry' strongly indicates a state of anxiety or concern.",Frustrated,0.8,"The speaker expresses that they are not doing well ('menye ni yie') and feels a pressure to prove themselves. The mention of conflict regarding their father's side and the explicit statement that others want them to suffer ('wɔpɛ sɛ mewɔwea') indicates a sense of being misunderstood and unfairly treated, which aligns with frustration."
TWI,15,"Aane, ɛtɔ da a woyɛ basabasa basabasa, na wopɛ sɛ woyɛ sɛ nea woyɛ den. Meyɛ afutuofoɔ. Yɛahu sɛ mmaranteɛ no woyɛ tenten na wɔn nne nso yɛ du. Yɛsan hu sɛ anwiinwii a ɛwɔ wɔn koko so ne wɔn anim no nso hyɛ ase fu.","Ai, aku tahu dah, om ya basa basa basa. Na om persedia wajar disini wajar ding. Maya efektif oh. Yang muncul ayah emang siapa wajar tentu na orang yang muncul itu. Esai yang muncul, yang nyanyi walaupun kau kosong yang nyomongin su, menimbulkan sih fuk.","Ain, atɔ ɖaa, ɔmeya basabasa basa, na ɔmɔpɛ sɛ wɔyɛ Tesenia wɔ yadeŋ. Mɛyɛ, eƒutuƒo. Yehu sɛ ayaa Mmara ntiawo wɔ yɛ tenten na wɔne mu nso yedu. Eser ehu sɛ, ènuie wɔ wɔmɔ koko so, animuonyi nso amunim so shiase fu.",Irritated,0.85,"Although the language is labeled as Twi, the transcription is actually colloquial Indonesian/Malay. The speaker expresses annoyance with 'basa basi' (small talk), uses a dismissive tone ('aku tahu dah'), and ends with a frustration-based exclamation ('fuk'), indicating a state of irritation or being fed up.",Sad,0.75,"The text contains markers of distress and suffering, using words such as 'yadeŋ' (suffering/sickness) and 'atɔ ɖaa' (which implies a heavy or sad heart/situation), as well as 'shiase' (shame/disgrace), collectively indicating a state of sorrow or misery."
TWI,16,Saa pɛpɛɛpɛ. Beayɛ a mmaa a wɔadane mmaamefoɔ no betumi asua adeɛ abra wɔn frɛ adeɛ. Ɛwɔ sɛ yɛyɛ obiara sɛ ɔyɛ nipa anaa? Me wɔfa hyɛ me so sɛ ɛwɔ sɛ mehyɛ aseɛ yɛ adwuma wɔ n’adwumam abrɛ biara,ça peut être bien y un mois pendant un mois de fino peut m'y avoir besoin d'abreuvoir en ferry à day et aussi il y aura soi nipa on a mais ouf a et dans et chaque messos ça aussi mais chaque se y a du mal et on a du m un prix bien,1 BIA 1. Mewɔ fa Eden rehye me so sɛ wɔsɛ meshea sia yeedzima ewɔ nudzime abibea.,Confused,0.45,"The transcription is highly fragmented and appears to be a mix of broken French and Twi (e.g., 'nipa' meaning person in Twi), making the overall meaning disjointed. While phrases like 'y a du mal' (there is difficulty) suggest frustration, the overall structure—jumping from potential positivity ('ça peut être bien') to need ('besoin') to difficulty and then back to a good price ('prix bien')—indicates a state of confusion or a struggle to clearly communicate a point.",Afraid,0.85,"The phrase 'rehye me so' (literally 'burning me', often meaning tormenting or distressing) combined with the reference to 'nudzime abibea' (a deep or dark place) indicates a state of fear, dread, or spiritual/emotional distress."
TWI,17,"Me nnamfonom bi wɔ wurawura mmaa ne mmarima nkitahodie. Aseɛ w’ani gye ho. Sɛ wanyɛ bi a, asɛ nea wahwere biribi. Me deɛ, ɛno ara ne sɛ, masesa nea yɛredi ho nkɔmmɔ no anaa mafiri ho.","Maintenant pour non bi, ou vera, un mal ne m'a inquiétant dit, assez on est jehon. C'est où on est bien, nan c'est bibi ou a aussi. Aïa mais dire non c'est massa, ni ayez du hon comme on, alors c'est me fuyer.","MENAFONOM 10. Aser wòni dze ho. Sɛ woanye bia, na ase bibi wɔ ha wòhre. Ameɖia nɔnese amasesa nayiɖiwo ŋkɔmɔnɔ, anaasemefue hɔ.",Confused,0.45,"The provided text is labeled as Twi but appears to be a phonetic or poor transcription of French (e.g., 'Maintenant', 'inquiétant', 'C'est où on est bien', 'Alors c'est me fuyer'). The fragmented nature of the sentences, combined with terms like 'inquiétant' (worrying) and the disjointed transitions between feeling 'well' and things 'fleeing', suggests a state of confusion or disorientation.",Sad,0.85,"The text contains phrases associated with weeping/crying ('wòhre') and describes a heavy heart or a burdensome state, which strongly indicates sadness."
TWI,18,"Me deɛ, ɛtaa yɛ social media so sɛ me ne me nnamfonom bɔ nkɔmmɔ wɔ WhatsApp. Anaa sɛ ebia yɛrehyia nipa foforo. Ehu a ɛwom sɛ dɛn? Me ne nipa na merekasa, ɛnyɛ sɛ yɛreyɛ adeɛ a enye saa, anaa? Ɔmo nso yɛ nnipa papa.","Mendakatai sosial media, saya menemani orang fufu air bong komo atau WhatsApp. Anna saya A B A share nih pafu furo. Eh hui umu, tisadeng. Menemani papa nakesa, niasa meya A B A nyesa. Anna, mosa mu yeh nih papa papa.","Meɖe eya Ɛtaa Yesu shiãm me ɖia, sɛ meni menam fofowò ɛbɔ nko mɔ ewɔ Wosap. Ana asẽ ebia yehsia nipa foforɔ. Èhu ewo mu, ti sɛ dɛn. Meni nipa na ɛkasa nye sɛ meyia adie bi a ɛnye saa, ana. Omusɔ moye nipa papa.",Happy,0.4,"The text mentions using social media and WhatsApp to share and communicate, as well as accompanying a father ('papa'). These activities typically indicate social connection and familial bonding, which align with a positive/happy sentiment, although the transcription is linguistically irregular.",Confused,0.7,"The speaker expresses a state of uncertainty and is seeking guidance or an opinion ('Èhu ewo mu, ti sɛ dɛn' - 'How do you see it/what do you think?'). They are questioning whether they should look for another person ('Ana asẽ ebia yehsia nipa foforɔ') and trying to make sense of a social interaction, which indicates a lack of clarity or a dilemma regarding their current situation."
TWI,19,"Ɛden bio na metumi ayɛ sɛ me bo fu a? Ɛyɛ a mepɛ sɛ menante kɔ nsuo no ano anwummere anwummere. Ebia me taa yɛ paa. Ade foforo wɔ ho. Ɛyɛ a na ɛyɛ me adwendwen sɛ ebia wobɛte nnka wɔ me ho, anaa ebia afoforo behu pad no.","ada yang biarlah metu miaya semebu fua ayah anak mepercaya menantikoh insya allah no enam numri ebi ayah mati epan ada fofroho ayah anak ema jenjang sebi obetin kaum menum, anak sebi fofro benhum padan","Ɛdeɛm bio na mete mi ayɛ sɛ mɛbu fua? Aye ana mepɛ sɛ menante kɔ nsiona no enumerenumbere, ebia mɛta ayepa? Aɖe foforɔ wɔ hɔ. Aye ana ɛyemma dwendwen seebia wòbɛte ŋkawɔ me ho. Ana seebi afoforɔ behu pa adu no.",Sad,0.85,"Although the language is labeled as Twi, the transcription contains keywords from Indonesian/Malay dialects, specifically 'mati' (death), 'ayah' (father), and 'anak' (child), which strongly suggest a context of grief or mourning.",Anxious,0.85,"The speaker is expressing uncertainty and worry ('dwendwen') about their financial situation and future prospects, questioning how to survive or make money and fearing the potential burdens or outcomes of their decisions."
TWI,20,"Sɛ me ka daabi a, ɔbɛka sɛ me mmu adeɛ. Na sɛ me ka sɛ mesuro nso ɛ? Me mpɛ sɛ me yam bɛhyɛ me o. Me mpɛ sɛ mede me nkwa bɛto asiane mu. Wobetumi aboa me ma me ne no akasa anaa? Me maame deɛ, ɔwɔ mfinimfini.","Ça me cas d'habia, au bascas ça m'est moadier. On a, me cas ça m'y seunssue. Même perso m'y embache mieux. Même perso me demande qu'abattue sans moi. Au petit mia bois maman m'a noyacasseana. Même maman me dit au moins fin fin.","1 Sɛ mɛkadaa biaa. Ɔbɛka sɛ miŋmua deɛ. Mɛkpɛ sɛ meyembe shɛmee o. Mɛkpɛ sɛ mede menkwa Betusanoo. Obeti me aboa mama me ne wo akasa ana? Mema me deɛ, ɔwɔ mfimfini.",Sad,0.85,"Although labeled as Twi, the transcription appears to be a phonetic representation of French or a French-based creole. It contains keywords such as 'cas' (likely 'cassé' meaning broken), 'moadier' (likely 'maudit' meaning cursed), 'abattue' (meaning devastated or downcast), and 'noyacasseana' (containing 'noyé' meaning drowned/overwhelmed), all of which strongly indicate a state of sadness and distress.",Hopeless,0.75,The speaker expresses a strong desire to escape or disappear ('meyembe shɛmee') and move their life away to another place ('mede menkwa Betusanoo') because they feel judged or misunderstood by another person. This desire to flee one's current situation due to persistent negative perceptions is characteristic of feeling hopeless or desperate.
